"t","mass","E","L"
17.6,8.25455286102098e-29,9.86960440108936,1.00017850610215
17.7,-5.92522191032671e-29,9.86960440108936,1.0001785054042
17.8,-2.96261095516336e-29,9.86960440108936,1.00017850454221
17.9,-7.13261735137332e-29,9.86960440108936,1.00017850347766
18,-6.0282120840639e-29,9.86960440108936,1.00017850216294
18.1,-4.13494591153347e-29,9.86960440108936,1.00017850053926
18.2,-1.11558079680005e-28,9.86960440108936,1.000178498534
18.3,-3.79420182608384e-29,9.86960440108936,1.00017849605752
18.4,-5.94329997273803e-29,9.86960440108936,1.00017849299907
18.5,-8.1422497460416e-29,9.86960440108936,1.00017848922187
18.6,1.15694121231684e-28,9.86960440108936,1.00017848455702
18.7,-1.80780624113149e-30,9.86960440108936,1.00017847879594
18.8,5.68856363876041e-29,9.86960440108936,1.00017847168099
18.9,8.34329971285834e-30,9.86960440108936,1.00017846289403
19,8.76512116912235e-30,9.86960440108936,1.00017845204213
19.1,-2.21374091527646e-29,9.86960440108936,1.00017843864002
19.2,1.54868734656931e-29,9.86960440108936,1.00017842208843
19.3,3.90376584069787e-29,9.86960440108936,1.0001784016472
19.4,-5.27523339362898e-29,9.86960440108936,1.00017837640228
19.5,2.39123461895119e-30,9.86960440108936,1.00017834522481
19.6,3.10887891467308e-30,9.86960440108936,1.00017830672065
19.7,-1.28409025127642e-29,9.86960440108936,1.00017825916806
19.8,5.4206796230291e-30,9.86960440108936,1.00017820044065
19.9,2.23661240332714e-29,9.86960440108936,1.00017812791242
20,-1.35790900612263e-29,9.86960440108936,1.00017803834021
